Date,Open,High,Low,Close,Volume
03-05-2010,17536.85938,17536.85938,17345.91992,17386.08008,10400
04-05-2010,17371.75,17464.82031,17101.96094,17137.14063,19800
05-05-2010,17103.94922,17121.66016,16858.23047,17087.96094,20000
06-05-2010,17080.4707,17080.4707,16823,16987.5293,16400
07-05-2010,16939.58008,16939.58008,16684.13086,16769.10938,19400
10-05-2010,16799.49023,17356.53906,16799.49023,17330.55078,19800
11-05-2010,17336.13086,17379.15039,17104.44922,17141.5293,20400
12-05-2010,17141.5293,17252.51953,17028.08008,17195.81055,18400
13-05-2010,17323.63086,17389.15039,17240.34961,17265.86914,18000
14-05-2010,17267.25,17329.32031,16923.65039,16994.59961,15200
17-05-2010,16961.91992,16961.91992,16551,16835.56055,20400
18-05-2010,16840.58984,17000.33984,16744.13086,16875.75977,16800
19-05-2010,16802.39063,16802.39063,16373.32031,16408.49023,22200
20-05-2010,16419.09961,16617.80078,16419.09961,16519.67969,21600
21-05-2010,16317.94043,16486.74023,16187.03027,16445.60938,24200
24-05-2010,16494.60938,16757.73047,16413.0293,16469.55078,22200
25-05-2010,16444.57031,16444.57031,15960.15039,16022.48047,21600
26-05-2010,16069.78027,16410.34961,16069.78027,16387.83984,18400
27-05-2010,16410.88086,16694.55078,16331.09961,16666.40039,18800
28-05-2010,16692.66016,16891.16992,16692.66016,16863.06055,19000
31-05-2010,16872.16992,16971.15039,16806.5,16944.63086,15600
01-06-2010,16942.82031,16942.82031,16318.38965,16572.0293,20600
02-06-2010,16574.78906,16774.15039,16571.44922,16741.83984,29000
03-06-2010,16786.2793,17072.63086,16786.2793,17022.33008,21800
04-06-2010,17036.55078,17150.41992,16963.91992,17117.68945,22400
07-06-2010,17069.76953,17069.76953,16686.73047,16781.07031,26000
08-06-2010,16760.59961,16895.73047,16560.64063,16617.09961,27400
09-06-2010,16621.11914,16817.68945,16591.25977,16657.89063,36600
10-06-2010,16668.91016,16942.59961,16668.91016,16922.08008,24800
11-06-2010,16994.07031,17131.56055,16994.07031,17064.94922,24600
14-06-2010,17118.74023,17351.17969,17118.74023,17338.16992,17400
15-06-2010,17355.49023,17442.5,17249.46094,17412.83008,22400
16-06-2010,17500.30078,17530.38086,17407.30078,17462.86914,27400
17-06-2010,17490.51953,17647.41992,17394.90039,17616.68945,25400
18-06-2010,17628.01953,17721.99023,17525.28906,17570.82031,24000
21-06-2010,17654.81055,17919.61914,17654.81055,17876.55078,26200
22-06-2010,17868.11914,17868.11914,17725.63086,17749.68945,15200
23-06-2010,17694.86914,17782.41016,17629.18945,17755.93945,17600
24-06-2010,17750.50977,17845.65039,17632.80078,17730.24023,15600
25-06-2010,17705.10938,17714.73047,17546.73047,17574.5293,19200
28-06-2010,17577.66016,17794.80078,17571.84961,17774.25977,19200
29-06-2010,17777.94922,17777.94922,17465.73047,17534.08984,19200
30-06-2010,17476.84961,17725.03906,17373.7793,17700.90039,18200
01-07-2010,17679.33984,17679.33984,17455.41016,17509.33008,16200
02-07-2010,17523.4707,17598.93945,17426.7793,17460.94922,17200
05-07-2010,17473.83008,17505.73047,17423.74023,17441.43945,7800
06-07-2010,17402.67969,17643.14063,17395.58008,17614.48047,15600
07-07-2010,17623.66016,17623.66016,17447.15039,17471.0293,15200
08-07-2010,17536.48047,17728.36914,17536.48047,17651.73047,14200
09-07-2010,17667.84961,17857.58008,17667.84961,17833.53906,26000
12-07-2010,17875.9707,18010.07031,17874.94922,17937.19922,16200
13-07-2010,17908.30078,17998.03906,17855.84961,17985.90039,17000
14-07-2010,18024.94922,18167.2207,17897.25977,17938.16016,16800
15-07-2010,17874.71094,17978.56055,17858.73047,17909.46094,11800
16-07-2010,17911.13086,17980.26953,17892.16016,17955.82031,13200
19-07-2010,17914.11914,18005.07031,17856.40039,17928.41992,11800
20-07-2010,17918.42969,18040.16992,17848.07031,17878.14063,11600
