Date,Open,High,Low,Close,Volume,Change
06-05-2019,38719.32813,38719.32813,38509.78906,38600.33984,13400,0
07-05-2019,38815.46094,38835.53906,38236.17969,38276.62891,15600,-0.83862199
08-05-2019,38244.17969,38248.57031,37743.07031,37789.12891,13100,-1.273623132
09-05-2019,37747.91016,37780.46094,37405.39844,37558.91016,15300,-0.609219521
10-05-2019,37632.35938,37721.98047,37370.39063,37462.98828,19700,-0.255390464
13-05-2019,37491.30078,37583.57031,36999.83984,37090.82031,17800,-0.993428408
14-05-2019,37146.57813,37572.69922,36956.10156,37318.53125,17700,0.613928015
15-05-2019,37539.05078,37559.67188,37047.87109,37114.87891,19400,-0.545713717
16-05-2019,37179.12891,37518.94141,37052.30078,37393.48047,15700,0.750646563
17-05-2019,37494.42188,38001.12891,37415.35938,37930.76953,18800,1.436852241
20-05-2019,38701.17969,39412.55859,38570.03906,39352.67188,26400,3.748677819
21-05-2019,39449.44922,39571.73047,38884.85156,38969.80078,22700,-0.972922741
22-05-2019,39086.21094,39249.07813,38903.87109,39110.21094,15600,0.360305042
23-05-2019,39591.76953,40124.96094,38651.60938,38811.39063,28100,-0.764046795
24-05-2019,39076.28125,39476.96875,38824.26172,39434.71875,17100,1.606044295
27-05-2019,39536.23047,39821.94141,39353.16016,39683.28906,16000,0.630333678
28-05-2019,39765.64063,39828.64844,39498.64844,39749.73047,15300,0.167429181
29-05-2019,39714.26953,39767.92969,39420.5,39502.05078,12800,-0.62309778
30-05-2019,39580.28125,39911.92188,39500.55859,39831.96875,17500,0.835192003
31-05-2019,39998.91016,40122.33984,39374.23828,39714.19922,17100,-0.295665855
03-06-2019,39806.85938,40308.89844,39711.01953,40267.62109,34600,1.393511353
04-06-2019,40196,40312.07031,40031.05078,40083.53906,11900,-0.457146526
06-06-2019,40136.42969,40159.26172,39481.14844,39529.71875,18700,-1.381665207
07-06-2019,39581.76953,39703.10156,39279.46875,39615.89844,14800,0.218012399
10-06-2019,39787.32813,39979.48047,39619.96875,39784.51953,16200,0.425639957
11-06-2019,39900.44922,40066.30859,39760.01953,39950.46094,14200,0.417100442
12-06-2019,39974.17969,39982.10156,39623.53125,39756.80859,11700,-0.484731188
13-06-2019,39679.35156,39800.80859,39461.26953,39741.35938,21800,-0.038859304
14-06-2019,39797,39799.89844,39363.44922,39452.07031,20600,-0.727929458
17-06-2019,39514.35938,39540.42188,38911.48828,38960.78906,12700,-1.245261012
18-06-2019,39056.98047,39167.82813,38870.96094,39046.33984,17800,0.219581746
19-06-2019,39176.55859,39435.80078,38881.05078,39112.73828,18500,0.170050349
20-06-2019,39042.96094,39638.64063,38933.78125,39601.62891,20100,1.249952436
21-06-2019,39608.25,39617.94922,39121.30078,39194.48828,15600,-1.028090602
24-06-2019,39160.23047,39300.01953,39021.69922,39122.96094,11600,-0.182493371
25-06-2019,39131.94141,39490.64063,38946.03906,39434.94141,11300,0.797435727
26-06-2019,39379.12891,39674.21875,39319.64063,39592.07813,15000,0.398470781
27-06-2019,39633.96875,39817.21875,39510.44141,39586.41016,13200,-0.014315917
28-06-2019,39630.51953,39675.25,39361.92188,39394.64063,11200,-0.484432739
